[WF] ALGO=gwo WINDOW=Y3 RUN=22 at Thu Jun  4 02:29:34 AM +03 2026
[2026-06-04 02:29:38] [WF] [INFO] Tek kosu: gwo/Y3/run_022, seed=42022
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] [WALK-FORWARD] Veri penceresi: [16104:24864] (8760 saat)
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] DB: walk_forward_runs/gwo_Y3/run_022/gwo_running.db
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] Seed: 42022
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-04 02:30:49] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 42022 | Pop: 40 | MaxIter: 50
[2026-06-04 02:30:49] [OPT.GWO] [INFO] ============================================================
[2026-06-04 02:30:49] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-04 02:30:49] [OPT.GWO] [INFO] ============================================================
[2026-06-04 02:30:49] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 42022 | Mode: joint
[2026-06-04 02:30:49] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-04 02:30:49] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-04 02:31:00] [INFO]  i:T-0 | ind 0 (I) | wavelet=coif5 | level=7 | mode=symmetric | look_back=46 | hidden=187 | layers=4 | dropout=0.390 | lr=0.00380 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:00] [INFO]  i:T-0 | ind 1 (I) | wavelet=db4 | level=7 | mode=symmetric | look_back=46 | hidden=108 | layers=1 | dropout=0.207 | lr=0.00017 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 2 (I) | wavelet=coif4 | level=5 | mode=symmetric | look_back=77 | hidden=107 | layers=3 | dropout=0.072 | lr=0.00134 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 3 (I) | wavelet=coif4 | level=3 | mode=zero | look_back=94 | hidden=103 | layers=4 | dropout=0.376 | lr=0.00015 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 4 (I) | wavelet=db7 | level=4 | mode=symmetric | look_back=67 | hidden=226 | layers=2 | dropout=0.394 | lr=0.00362 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 5 (I) | wavelet=sym6 | level=3 | mode=periodization | look_back=95 | hidden=179 | layers=1 | dropout=0.298 | lr=0.00017 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 6 (I) | wavelet=coif5 | level=4 | mode=symmetric | look_back=57 | hidden=50 | layers=1 | dropout=0.168 | lr=0.00497 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 7 (I) | wavelet=coif3 | level=3 | mode=periodization | look_back=51 | hidden=137 | layers=3 | dropout=0.357 | lr=0.00043 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 8 (I) | wavelet=db5 | level=3 | mode=periodization | look_back=89 | hidden=152 | layers=4 | dropout=0.471 | lr=0.00268 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 9 (I) | wavelet=sym5 | level=6 | mode=periodization | look_back=26 | hidden=138 | layers=2 | dropout=0.143 | lr=0.00021 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 10 (I) | wavelet=coif3 | level=6 | mode=periodization | look_back=85 | hidden=35 | layers=3 | dropout=0.035 | lr=0.00013 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 11 (I) | wavelet=coif4 | level=7 | mode=symmetric | look_back=94 | hidden=110 | layers=1 | dropout=0.433 | lr=0.00522 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 12 (I) | wavelet=db8 | level=5 | mode=periodization | look_back=33 | hidden=175 | layers=1 | dropout=0.368 | lr=0.00027 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 13 (I) | wavelet=sym6 | level=5 | mode=symmetric | look_back=61 | hidden=159 | layers=3 | dropout=0.191 | lr=0.00180 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 14 (I) | wavelet=db7 | level=4 | mode=zero | look_back=79 | hidden=206 | layers=1 | dropout=0.154 | lr=0.00195 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 15 (I) | wavelet=db4 | level=6 | mode=periodization | look_back=53 | hidden=142 | layers=3 | dropout=0.224 | lr=0.00140 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 16 (I) | wavelet=db4 | level=4 | mode=periodization | look_back=24 | hidden=169 | layers=3 | dropout=0.335 | lr=0.00993 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 17 (I) | wavelet=db6 | level=5 | mode=symmetric | look_back=56 | hidden=144 | layers=4 | dropout=0.395 | lr=0.00163 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 18 (I) | wavelet=coif3 | level=3 | mode=symmetric | look_back=26 | hidden=97 | layers=2 | dropout=0.171 | lr=0.00100 | batch=128 | ablation[dwt=True, bi=True]
