[ABL] ALGO=gwo ABLATION=nodwt RUN=22 at Wed Jun 10 09:24:20 AM +03 2026
[2026-06-10 09:24:21] [ABL] [INFO] Tek kosu: gwo/nodwt/run_022, seed=243963
[2026-06-10 09:24:21] [ABL] [INFO]   Ablation: DWT KAPALI — ham sinyal direkt BiLSTM (level=1)
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] [ABLATION] use_dwt=False (DWT kapali, ham sinyal)
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] DB: ablation_runs/gwo_nodwt/run_022/gwo_running.db
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] Seed: 243963
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-10 09:26:09] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-10 09:26:10] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 243963 | Pop: 40 | MaxIter: 50
[2026-06-10 09:26:10] [OPT.GWO] [INFO] ============================================================
[2026-06-10 09:26:10] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-10 09:26:10] [OPT.GWO] [INFO] ============================================================
[2026-06-10 09:26:10] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 243963 | Mode: joint
[2026-06-10 09:26:10] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-10 09:26:10] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 1 (I) | wavelet=db5 | level=3 | mode=symmetric | look_back=43 | hidden=51 | layers=4 | dropout=0.038 | lr=0.00895 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 0 (I) | wavelet=sym8 | level=4 | mode=symmetric | look_back=40 | hidden=159 | layers=3 | dropout=0.035 | lr=0.00402 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 2 (I) | wavelet=db6 | level=6 | mode=periodization | look_back=95 | hidden=142 | layers=4 | dropout=0.307 | lr=0.00074 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 3 (I) | wavelet=db6 | level=3 | mode=periodization | look_back=70 | hidden=239 | layers=2 | dropout=0.093 | lr=0.00125 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 4 (I) | wavelet=db6 | level=7 | mode=periodization | look_back=39 | hidden=92 | layers=2 | dropout=0.476 | lr=0.00013 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 5 (I) | wavelet=db7 | level=7 | mode=symmetric | look_back=82 | hidden=61 | layers=4 | dropout=0.104 | lr=0.00051 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 6 (I) | wavelet=db6 | level=7 | mode=periodization | look_back=34 | hidden=163 | layers=3 | dropout=0.098 | lr=0.00521 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 10 (I) | wavelet=db8 | level=3 | mode=symmetric | look_back=71 | hidden=47 | layers=4 | dropout=0.412 | lr=0.00082 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 12 (I) | wavelet=sym8 | level=7 | mode=zero | look_back=34 | hidden=71 | layers=2 | dropout=0.334 | lr=0.00041 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 11 (I) | wavelet=sym7 | level=7 | mode=symmetric | look_back=87 | hidden=55 | layers=4 | dropout=0.349 | lr=0.00148 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 8 (I) | wavelet=db5 | level=6 | mode=zero | look_back=66 | hidden=222 | layers=1 | dropout=0.408 | lr=0.00076 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 7 (I) | wavelet=db6 | level=6 | mode=periodization | look_back=88 | hidden=82 | layers=1 | dropout=0.106 | lr=0.00026 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 9 (I) | wavelet=coif5 | level=6 | mode=symmetric | look_back=42 | hidden=116 | layers=3 | dropout=0.117 | lr=0.00247 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:26:22] [INFO]  i:T-0 | ind 13 (I) | wavelet=coif3 | level=6 | mode=symmetric | look_back=39 | hidden=74 | layers=3 | dropout=0.015 | lr=0.00201 | batch=128 | ablation[dwt=False, bi=True]
