[WF] ALGO=gwo WINDOW=Y2 RUN=14 at Thu Jun  4 12:52:24 AM +03 2026
[2026-06-04 00:52:28] [WF] [INFO] Tek kosu: gwo/Y2/run_014, seed=42014
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] [WALK-FORWARD] Veri penceresi: [7344:16104] (8760 saat)
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] DB: walk_forward_runs/gwo_Y2/run_014/gwo_running.db
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] Seed: 42014
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-04 00:53:12] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-04 00:53:12] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 42014 | Pop: 40 | MaxIter: 50
[2026-06-04 00:53:12] [OPT.GWO] [INFO] ============================================================
[2026-06-04 00:53:12] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-04 00:53:12] [OPT.GWO] [INFO] ============================================================
[2026-06-04 00:53:12] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 42014 | Mode: joint
[2026-06-04 00:53:12] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-04 00:53:12] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 0 (I) | wavelet=sym5 | level=4 | mode=zero | look_back=35 | hidden=157 | layers=4 | dropout=0.278 | lr=0.00403 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 1 (I) | wavelet=db6 | level=5 | mode=symmetric | look_back=56 | hidden=56 | layers=1 | dropout=0.004 | lr=0.00115 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 2 (I) | wavelet=db7 | level=3 | mode=zero | look_back=36 | hidden=42 | layers=4 | dropout=0.191 | lr=0.00901 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 3 (I) | wavelet=coif4 | level=6 | mode=symmetric | look_back=57 | hidden=128 | layers=4 | dropout=0.150 | lr=0.00088 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 4 (I) | wavelet=coif3 | level=6 | mode=periodization | look_back=87 | hidden=178 | layers=2 | dropout=0.233 | lr=0.00042 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 5 (I) | wavelet=db4 | level=3 | mode=symmetric | look_back=50 | hidden=172 | layers=1 | dropout=0.010 | lr=0.00241 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 6 (I) | wavelet=db5 | level=7 | mode=periodization | look_back=93 | hidden=197 | layers=4 | dropout=0.159 | lr=0.00177 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 7 (I) | wavelet=coif5 | level=5 | mode=periodization | look_back=28 | hidden=87 | layers=1 | dropout=0.156 | lr=0.00010 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 9 (I) | wavelet=db6 | level=3 | mode=zero | look_back=62 | hidden=42 | layers=3 | dropout=0.329 | lr=0.00800 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 8 (I) | wavelet=sym7 | level=7 | mode=zero | look_back=70 | hidden=109 | layers=4 | dropout=0.451 | lr=0.00025 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 10 (I) | wavelet=db8 | level=7 | mode=zero | look_back=55 | hidden=253 | layers=4 | dropout=0.055 | lr=0.00431 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 12 (I) | wavelet=coif3 | level=7 | mode=symmetric | look_back=85 | hidden=239 | layers=3 | dropout=0.137 | lr=0.00032 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 14 (I) | wavelet=sym6 | level=3 | mode=symmetric | look_back=72 | hidden=194 | layers=2 | dropout=0.415 | lr=0.00096 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 15 (I) | wavelet=sym5 | level=7 | mode=periodization | look_back=49 | hidden=256 | layers=4 | dropout=0.188 | lr=0.00012 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 11 (I) | wavelet=coif4 | level=4 | mode=symmetric | look_back=28 | hidden=56 | layers=2 | dropout=0.013 | lr=0.00045 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 13 (I) | wavelet=sym7 | level=6 | mode=zero | look_back=75 | hidden=69 | layers=2 | dropout=0.495 | lr=0.00410 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 16 (I) | wavelet=db5 | level=5 | mode=symmetric | look_back=95 | hidden=138 | layers=2 | dropout=0.248 | lr=0.00050 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 17 (I) | wavelet=sym7 | level=4 | mode=periodization | look_back=31 | hidden=142 | layers=2 | dropout=0.496 | lr=0.00056 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 18 (I) | wavelet=coif4 | level=6 | mode=zero | look_back=90 | hidden=113 | layers=1 | dropout=0.202 | lr=0.00209 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 19 (I) | wavelet=sym5 | level=3 | mode=zero | look_back=55 | hidden=97 | layers=2 | dropout=0.468 | lr=0.00051 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 00:53:22] [INFO]  i:T-0 | ind 20 (I) | wavelet=sym8 | level=7 | mode=symmetric | look_back=41 | hidden=60 | layers=4 | dropout=0.339 | lr=0.00177 | batch=128 | ablation[dwt=True, bi=True]
